Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HPG,2023-11-15,2593200,71.11,1220600,33.54,1372600,37.57
HPG,2023-11-14,383100,10.35,2605000,70.44,-2221900,-60.09
HPG,2023-11-13,1183800,32.17,3116100,84.71,-1932300,-52.53
HPG,2023-11-10,1324700,35.37,2139400,56.92,-814700,-21.54
HPG,2023-11-09,2025300,54.7,1566700,42.3,458600,12.4
HPG,2023-11-08,4090700,108.1,1160000,30.23,2930700,77.87
HPG,2023-11-07,667400,17.18,1793600,46.04,-1126200,-28.86
HPG,2023-11-06,2114000,54.09,1166700,29.89,947300,24.2
HPG,2023-11-03,1961100,49.27,1698900,42.66,262200,6.61
HPG,2023-11-02,3705900,92.79,2289200,56.46,1416700,36.33
HPG,2023-11-01,2618700,61.18,1479300,34.57,1139400,26.61
HPG,2023-10-31,1743100,40.37,1515100,35.01,228000,5.36
HPG,2023-10-30,1776600,41.65,1017700,23.81,758900,17.84
HPG,2023-10-27,1095200,25.32,1932700,44.87,-837500,-19.55
HPG,2023-10-26,1728800,40.08,2712600,62.44,-983800,-22.36
HPG,2023-10-25,808400,19.73,2097900,50.93,-1289500,-31.2
HPG,2023-10-24,1582900,38.03,1053000,25.35,529900,12.68
HPG,2023-10-23,833400,20.08,2698200,64.76,-1864800,-44.68
HPG,2023-10-20,2700000,64.19,1340900,32.11,1359100,32.07
HPG,2023-10-19,1907000,45.35,1567600,37.39,339400,7.96
HPG,2023-10-18,2945900,71.95,1314300,31.88,1631600,40.06
HPG,2023-10-17,802500,20.21,451100,11.31,351400,8.9
HPG,2023-10-16,193800,4.9,577500,14.6,-383700,-9.69
HPG,2023-10-13,903200,22.92,1107700,28.05,-204500,-5.13
HPG,2023-10-12,712000,18.45,832800,21.65,-120800,-3.2
HPG,2023-10-11,713100,18.55,315800,8.23,397300,10.32
HPG,2023-10-10,1127000,29.33,1233600,32.11,-106600,-2.77
HPG,2023-10-09,546600,13.83,1069400,27.03,-522800,-13.2
HPG,2023-10-06,1587400,39.55,439700,10.95,1147700,28.6
HPG,2023-10-05,1093200,27.53,1083600,27.28,9600,0.25
HPG,2023-10-04,933600,23.21,1888100,47.15,-954500,-23.94
HPG,2023-10-03,2245200,56.54,1609700,41.09,635500,15.46
HPG,2023-10-02,393900,10.35,1471200,38.62,-1077300,-28.27
HPG,2023-09-29,739200,19.58,1008800,26.74,-269600,-7.16
HPG,2023-09-28,968100,25.74,2521200,67.03,-1553100,-41.29
HPG,2023-09-27,3280700,86.38,1089800,28.78,2190900,57.6
HPG,2023-09-26,3315600,87.39,1617300,42.67,1698300,44.72
HPG,2023-09-25,3230100,85.8,598200,16.1,2631900,69.7
HPG,2023-09-22,3627900,98.7,1008100,27.76,2619800,70.94
HPG,2023-09-21,1809400,51.8,2063100,59.12,-253700,-7.33
HPG,2023-09-20,689600,19.46,903000,25.49,-213400,-6.03
